Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,moving_avg_7,moving_avg_30,normalized_close,volatility,high_volatility_flag,price_outlier,Security,GICS Sector,GICS Sub-Industry,Headquarters Location
2024-06-17 00:00:00-04:00,165.27172959668874,167.70278464757473,164.59421522378221,167.37399291992188,237000,0.0,0.0,AIZ,,,0.18320468325318837,3.1085694237925168,False,False,Assurant,Financials,Multi-line Insurance,"Atlanta, Georgia"
2024-06-18 00:00:00-04:00,166.9754554164015,168.9282749212563,166.9754554164015,167.75259399414062,239900,0.0,0.0,AIZ,,,0.19357976165586452,1.9528195048548014,False,False,Assurant,Financials,Multi-line Insurance,"Atlanta, Georgia"
2024-06-20 00:00:00-04:00,167.53339331963443,169.37661551073847,166.816032320068,168.97808837890625,262700,0.0,0.0,AIZ,,,0.22716286849257789,2.560583190670485,False,False,Assurant,Financials,Multi-line Insurance,"Atlanta, Georgia"
2024-06-21 00:00:00-04:00,169.3666626652646,169.40650929849275,166.4573719488593,168.12124633789062,459100,0.0,0.0,AIZ,,,0.20368220781936022,2.949137349633446,False,False,Assurant,Financials,Multi-line Insurance,"Atlanta, Georgia"
2024-06-24 00:00:00-04:00,168.12124874512057,169.69545682980177,168.01165149862896,168.61941528320312,312300,0.0,0.0,AIZ,,,0.2173338908634748,1.683805331172806,False,False,Assurant,Financials,Multi-line Insurance,"Atlanta, Georgia"
2024-06-25 00:00:00-04:00,168.87844644153367,169.34672417591696,165.83962769803634,165.95919799804688,279000,0.0,0.0,AIZ,,,0.14443403721513695,3.507096477880623,True,False,Assurant,Financials,Multi-line Insurance,"Atlanta, Georgia"
2024-06-26 00:00:00-04:00,165.01267001446482,165.01267001446482,163.36872661153325,164.2056427001953,224500,0.0,0.0,AIZ,167.28716823032923,,0.09638009617394941,1.6439434029315692,False,False,Assurant,Financials,Multi-line Insurance,"Atlanta, Georgia"
2024-06-27 00:00:00-04:00,163.9167245384405,167.33413974634306,163.9167245384405,166.64666748046875,287300,0.0,0.0,AIZ,167.18326459612166,,0.1632732594605896,3.4174152079025646,True,False,Assurant,Financials,Multi-line Insurance,"Atlanta, Georgia"
2024-06-28 00:00:00-04:00,166.71640709318865,168.2607263243176,165.04255970375038,165.64036560058594,584400,0.0,0.0,AIZ,166.8815176827567,,0.1356968429855739,3.2181666205672173,False,False,Assurant,Financials,Multi-line Insurance,"Atlanta, Georgia"
2024-07-01 00:00:00-04:00,165.94923864827692,167.56329340483165,164.37503052646082,166.2780303955078,462400,0.0,0.0,AIZ,166.49579511369978,,0.1531712314447,3.1882628783708356,False,False,Assurant,Financials,Multi-line Insurance,"Atlanta, Georgia"
