Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,moving_avg_7,moving_avg_30,normalized_close,volatility,high_volatility_flag,price_outlier,Security,GICS Sector,GICS Sub-Industry,Headquarters Location
2024-06-17 00:00:00-04:00,172.3293381321244,175.56021054158148,171.25816690491786,175.41390991210938,1575200,0.0,0.0,CTAS,,,0.09274772009164557,4.302043636663626,True,False,Cintas,Industrials,Diversified Support Services,"Mason, Ohio"
2024-06-18 00:00:00-04:00,175.34199677219058,176.96114070818564,174.7022664001038,176.29910278320312,1828400,0.0,0.0,CTAS,,,0.11756818332538245,2.258874308081829,False,False,Cintas,Industrials,Diversified Support Services,"Mason, Ohio"
2024-06-20 00:00:00-04:00,176.19000405811056,176.71070533060242,174.59316765270358,175.1833038330078,1486400,0.0,0.0,CTAS,,,0.08628161547791971,2.117537677898838,False,False,Cintas,Industrials,Diversified Support Services,"Mason, Ohio"
2024-06-21 00:00:00-04:00,175.8131051980248,176.3090169340796,174.53614155809876,175.67921447753906,2529600,0.0,0.0,CTAS,,,0.1001867567434587,1.7728753759808455,False,False,Cintas,Industrials,Diversified Support Services,"Mason, Ohio"
2024-06-24 00:00:00-04:00,175.8032010791171,176.804937387087,175.18082939823972,176.296630859375,1671200,0.0,0.0,CTAS,,,0.117498871544305,1.6241079888472711,False,False,Cintas,Industrials,Diversified Support Services,"Mason, Ohio"
2024-06-25 00:00:00-04:00,177.65046739046866,178.52326175840057,175.4262953753638,177.27108764648438,1174000,0.0,0.0,CTAS,,,0.14482226020583888,3.096966383036772,False,False,Cintas,Industrials,Diversified Support Services,"Mason, Ohio"
2024-06-26 00:00:00-04:00,176.25942293168,176.68095093460516,174.31793937934248,175.42381286621094,1664000,0.0,0.0,CTAS,175.93815176827567,,0.09302539506645588,2.3630115552626876,False,False,Cintas,Industrials,Diversified Support Services,"Mason, Ohio"
2024-06-27 00:00:00-04:00,175.63707090609657,176.60160775661214,174.9576590969836,176.455322265625,1470800,0.0,0.0,CTAS,176.08692496163505,,0.12194851674927747,1.6439486596285349,False,False,Cintas,Industrials,Diversified Support Services,"Mason, Ohio"
2024-06-28 00:00:00-04:00,176.54457485622842,177.21654069473072,172.15327106429436,173.63357543945312,10214000,0.0,0.0,CTAS,175.70613534109933,,0.042827835097860104,5.063269630436366,True,False,Cintas,Industrials,Diversified Support Services,"Mason, Ohio"
2024-07-01 00:00:00-04:00,174.627892856255,175.892461793583,171.78631301660297,172.10617065429688,1559600,0.0,0.0,CTAS,175.26654488699776,,0.0,4.106148776980035,True,False,Cintas,Industrials,Diversified Support Services,"Mason, Ohio"
2024-07-02 00:00:00-04:00,171.52595925454509,174.72706295569196,170.79448639332102,174.64524841308594,1426800,0.0,0.0,CTAS,175.11883544921875,,0.07119475113006013,3.93257656237094,True,False,Cintas,Industrials,Diversified Support Services,"Mason, Ohio"
2024-07-03 00:00:00-04:00,174.3675281038246,174.71219041202642,173.60631686390474,174.2311553955078,828000,0.0,0.0,CTAS,174.82376752580916,,0.05958374424808483,1.1058735481216786,False,False,Cintas,Industrials,Diversified Support Services,"Mason, Ohio"
2024-07-05 00:00:00-04:00,174.2881859907843,176.77269350156848,173.016171174887,176.4751434326172,1351200,0.0,0.0,CTAS,174.7100612095424,,0.12250429454939855,3.756522326681477,True,False,Cintas,Industrials,Diversified Support Services,"Mason, Ohio"
2024-07-08 00:00:00-04:00,176.75038450015057,177.1942200527995,175.16097892132225,176.30653381347656,1547200,0.0,0.0,CTAS,174.83616420200892,,0.11777654651911529,2.03324113147724,False,False,Cintas,Industrials,Diversified Support Services,"Mason, Ohio"
2024-07-09 00:00:00-04:00,177.11984906944528,177.17935606022644,176.16769181486828,176.3710174560547,811200,0.0,0.0,CTAS,174.8241206577846,,0.11958464273413584,1.011664245358162,False,False,Cintas,Industrials,Diversified Support Services,"Mason, Ohio"
