Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,moving_avg_7,moving_avg_30,normalized_close,volatility,high_volatility_flag,price_outlier,Security,GICS Sector,GICS Sub-Industry,Headquarters Location
2024-06-17 00:00:00-04:00,135.45729913590404,137.43477361719457,134.83807825599192,137.35487365722656,1754200,0.0,0.0,EA,,,0.014291923321673814,2.5966953612026487,True,False,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California"
2024-06-18 00:00:00-04:00,137.55461701831,138.04399856219962,136.58585095020484,137.95411682128906,1786500,0.0,0.0,EA,,,0.0551265841211481,1.4581476119947752,False,False,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California"
2024-06-20 00:00:00-04:00,137.59456903678594,138.5333744865051,136.865487640684,137.67446899414062,2107100,0.0,0.0,EA,,,0.0360703397620127,1.6678868458211014,False,False,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California"
2024-06-21 00:00:00-04:00,138.2237560944996,138.97280104856523,137.065244814124,138.88291931152344,2994000,0.0,0.0,EA,,,0.11841864469519575,1.9075562344412447,False,False,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California"
2024-06-24 00:00:00-04:00,139.32236286185875,141.63941592470445,139.11262356728648,141.05015563964844,2157300,0.0,0.0,EA,,,0.26610219894939546,2.5267923574179747,False,False,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California"
2024-06-25 00:00:00-04:00,140.83043348258286,141.07013335462887,139.30238299176636,140.450927734375,1662500,0.0,0.0,EA,,,0.2252685779406321,1.7677503628625004,False,False,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California"
2024-06-26 00:00:00-04:00,140.0414460615111,140.88037275399788,139.70188267255577,140.39100646972656,1518000,0.0,0.0,EA,139.1083526611328,,0.22118531981882686,1.1784900814421064,False,False,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California"
2024-06-27 00:00:00-04:00,141.03019666476834,141.03019666476834,139.12262510970473,139.34234619140625,1388500,0.0,0.0,EA,139.39227730887276,,0.1497257032104578,1.9075715550636119,False,False,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California"
2024-06-28 00:00:00-04:00,139.73183586202163,140.32108087158096,138.603269979129,139.15257263183594,2423500,0.0,0.0,EA,139.56348528180803,,0.1367938261386748,1.7178108924519506,False,False,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California"
2024-07-01 00:00:00-04:00,139.5320975237763,139.5320975237763,136.93540231395386,137.1451416015625,1285000,0.0,0.0,EA,139.4878670828683,,0.0,2.5966952098224283,True,False,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California"
2024-07-02 00:00:00-04:00,137.71441069432254,138.76307667546783,137.29494734973613,138.70315551757812,1288400,0.0,0.0,EA,139.4621865408761,,0.10616887032978002,1.4681293257316952,False,False,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California"
2024-07-03 00:00:00-04:00,138.9128868284175,139.24246845339007,137.9341389732428,138.49342346191406,799100,0.0,0.0,EA,139.09693908691406,,0.09187694700810621,1.308329480147279,False,False,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California"
2024-07-05 00:00:00-04:00,137.8542357403857,138.26371731678722,137.10519076668683,138.0839385986328,1195100,0.0,0.0,EA,138.75879778180803,,0.06397312348970399,1.1585265501003903,False,False,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California"
2024-07-08 00:00:00-04:00,138.034014420704,139.53210436769103,137.0153089897323,139.47216796875,1568900,0.0,0.0,EA,138.6275351388114,,0.1585722425790137,2.5167953779587435,False,False,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California"
2024-07-09 00:00:00-04:00,139.6319619771824,141.6493939540895,138.64323240720944,140.40098571777344,1917200,0.0,0.0,EA,138.77876935686385,,0.22186534294377228,3.0061615468800653,True,False,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California"
2024-07-10 00:00:00-04:00,140.8304297011989,144.216112201228,140.20124231793,143.90650939941406,2753900,0.0,0.0,EA,139.45790318080358,,0.46074478129042185,4.01486988329799,True,False,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California"
2024-07-11 00:00:00-04:00,143.98640906472897,146.51318609043315,143.55696395065382,145.11497497558594,2383300,0.0,0.0,EA,140.59645080566406,,0.5430941260143158,2.956222139779328,True,False,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California"
2024-07-12 00:00:00-04:00,145.71421266008252,147.22229966016283,144.6356012848634,145.49449157714844,2120400,0.0,0.0,EA,141.56664167131697,,0.56895580057646,2.58669837529942,True,False,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California"
2024-07-15 00:00:00-04:00,144.8153533935547,146.49320672487775,143.6268663308551,144.8153533935547,2116800,0.0,0.0,EA,142.4697745186942,,0.5226767956145787,2.866340394022643,True,False,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California"
2024-07-16 00:00:00-04:00,145.83406438771127,147.2822149295875,145.39462223942135,146.4832305908203,2024300,0.0,0.0,EA,143.669673374721,,0.6363321590630238,1.8875926901661444,False,False,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California"
2024-07-17 00:00:00-04:00,146.48322358033715,148.0312528052323,146.05377847192568,146.81280517578125,2450300,0.0,0.0,EA,144.7183358328683,,0.6587905986283081,1.977474333306617,False,False,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California"
2024-07-18 00:00:00-04:00,147.0624859213931,147.49193102718854,145.21483569013495,146.3334197998047,2415500,0.0,0.0,EA,145.56582641601562,,0.6261234938631552,2.277095337053595,False,False,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California"
2024-07-19 00:00:00-04:00,145.78412598228104,145.8140865617409,139.91160857840515,140.02146911621094,4844700,0.0,0.0,EA,145.01082066127233,,0.19600366838162814,5.902477983335757,True,False,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California"
2024-07-22 00:00:00-04:00,140.56078297180167,144.01636837054707,140.56078297180167,143.0675811767578,2890800,0.0,0.0,EA,144.7183358328683,,0.4035770880037266,3.4555853987453986,True,False,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California"
2024-07-23 00:00:00-04:00,141.83914942023512,142.38845207262906,140.48088069766,141.80918884277344,2695000,0.0,0.0,EA,144.19186401367188,,0.31782554807368374,1.9075713749690522,False,False,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California"
2024-07-24 00:00:00-04:00,141.93901906234765,142.63813987160293,140.77051077280044,141.00021362304688,2313400,0.0,0.0,EA,143.64684404645647,,0.2626989639525356,1.867629098802496,False,False,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California"
2024-07-25 00:00:00-04:00,142.20867556029754,142.9677022666218,141.26987014707447,141.6194305419922,2537000,0.0,0.0,EA,142.95201546805245,,0.30489471079261166,1.6978321195473427,False,False,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California"
2024-07-26 00:00:00-04:00,141.43965301036462,145.30473522754517,141.43965301036462,144.9951171875,2341300,0.0,0.0,EA,142.69234575544084,,0.5349265699799944,3.865082217180543,True,False,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California"
2024-07-29 00:00:00-04:00,144.81535111519707,147.79155199523402,144.81535111519707,147.66172790527344,2880100,0.0,0.0,EA,142.8821040562221,,0.7166393548306597,2.9762008800369415,True,False,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California"
2024-07-30 00:00:00-04:00,148.02126990122346,150.7178285605845,147.64174893249992,148.9300994873047,4096000,0.0,0.0,EA,144.15476553780692,141.7539271036784,0.803070917885648,3.0760796280845852,True,False,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California"
2024-07-31 00:00:00-04:00,150.8077238949762,153.3145222960677,146.4932174593798,150.747802734375,4475100,0.0,0.0,EA,145.25194004603796,142.20035807291666,0.9269359863246726,6.821304836687915,True,False,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California"
2024-08-01 00:00:00-04:00,150.53806398048684,150.75778506306324,146.31345450978466,148.21102905273438,2753600,0.0,0.0,EA,146.16648864746094,142.54225514729816,0.7540707806332742,4.444330553278576,True,False,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California"
