Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,moving_avg_7,moving_avg_30,normalized_close,volatility,high_volatility_flag,price_outlier,Security,GICS Sector,GICS Sub-Industry,Headquarters Location
2024-06-17 00:00:00-04:00,184.70425699784892,184.97238032328517,181.05982535817952,181.77481079101562,1651700,0.0,0.0,HSY,,,0.04630515567867336,3.9125549651056417,True,False,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania"
2024-06-18 00:00:00-04:00,181.63578518297373,183.41330871634807,180.07671510824844,181.45703125,2294200,0.0,0.0,HSY,,,0.03219283718181892,3.3365936080996335,False,False,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania"
2024-06-20 00:00:00-04:00,181.46696702421102,183.16504600890246,180.22567501391418,180.73211669921875,1691000,0.0,0.0,HSY,,,0.0,2.9393709949882805,False,False,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania"
2024-06-21 00:00:00-04:00,181.20876993073952,182.77776486167554,180.15615672260927,180.8214874267578,2280800,0.0,0.0,HSY,,,0.0039688778179235796,2.621608139066268,False,False,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania"
2024-06-24 00:00:00-04:00,181.65564131453527,186.97830237233907,181.61592663497692,185.99520874023438,1855000,0.0,0.0,HSY,,,0.2337294305470099,5.362375737362157,True,False,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania"
2024-06-25 00:00:00-04:00,186.50164991239487,190.11629184133557,184.1680298947289,184.62481689453125,1934200,0.0,0.0,HSY,,,0.1728714969926789,5.948261946606664,True,False,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania"
2024-06-26 00:00:00-04:00,182.71818971830217,183.9594817680189,181.50668746557938,181.77481079101562,1208100,0.0,0.0,HSY,182.45432608468192,,0.04630515567867336,2.4527943024395142,False,False,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania"
2024-06-27 00:00:00-04:00,182.132297719364,182.74797370766055,180.82148608332443,182.40040588378906,1199700,0.0,0.0,HSY,182.543696812221,,0.07408730040413843,1.9264876243361186,False,False,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania"
2024-06-28 00:00:00-04:00,182.2315994006569,184.16802713742996,181.43718460376544,182.54937744140625,5542300,0.0,0.0,HSY,182.69974626813615,,0.08070300027376244,2.7308425336645143,False,False,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania"
2024-07-01 00:00:00-04:00,183.2047827179709,184.41628497771177,180.40442056439218,181.17898559570312,1668700,0.0,0.0,HSY,182.76358468191964,,0.019845066719431443,4.011864413319586,True,False,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania"
2024-07-02 00:00:00-04:00,180.9406732716755,183.46297214859788,180.55339074306363,183.36366271972656,1638900,0.0,0.0,HSY,183.12675258091517,,0.11686471527350495,2.9095814055342544,False,False,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania"
2024-07-03 00:00:00-04:00,182.90687743270274,183.16506073670777,181.665585322597,182.46994018554688,1014800,0.0,0.0,HSY,182.6231427873884,,0.07717525946445561,1.4994754141107762,False,False,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania"
2024-07-05 00:00:00-04:00,182.26139058726642,182.8870066394538,180.63281599723902,182.8671417236328,1169400,0.0,0.0,HSY,182.3720463344029,,0.09481464114080335,2.2541906422147804,False,False,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania"
2024-07-08 00:00:00-04:00,183.40338065812668,184.44606898368903,182.8671340209847,183.47288513183594,1193300,0.0,0.0,HSY,182.6146283830915,,0.12171518947884846,1.5789349627043237,False,False,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania"
