Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,moving_avg_7,moving_avg_30,normalized_close,volatility,high_volatility_flag,price_outlier,Security,GICS Sector,GICS Sub-Industry,Headquarters Location
2024-06-17 00:00:00-04:00,435.0804832695113,441.98020571758246,433.7344661046732,439.3379821777344,1939000,0.0,0.0,LIN,,,0.23707118081849624,8.24573961290929,True,False,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom"
2024-06-18 00:00:00-04:00,438.3209653921911,439.4576373011896,433.95383394355656,438.7297668457031,1384500,0.0,0.0,LIN,,,0.22470038211057122,5.503803357633046,False,False,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom"
2024-06-20 00:00:00-04:00,437.792513874964,443.91452473943815,437.19429754066533,441.3321228027344,1626100,0.0,0.0,LIN,,,0.2776310137723674,6.720227198772818,True,False,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom"
2024-06-21 00:00:00-04:00,442.0998702311687,442.6781866129494,438.70984569099375,441.4517822265625,4046200,0.0,0.0,LIN,,,0.28006482720607406,3.968340921955644,False,False,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom"
2024-06-24 00:00:00-04:00,443.4359213362859,445.17083999039653,440.84356941219994,441.84063720703125,1440900,0.0,0.0,LIN,,,0.2879739449750846,4.32727057819659,False,False,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom"
2024-06-25 00:00:00-04:00,442.67816182288277,443.7649620465666,439.03884010063615,439.87640380859375,1523000,0.0,0.0,LIN,,,0.2480224102015329,4.726121945930458,False,False,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom"
2024-06-26 00:00:00-04:00,438.49048860871466,439.3778935819866,435.0705532580794,437.1344909667969,1634400,0.0,0.0,LIN,439.9575980050223,,0.192253260602389,4.3073403239071695,False,False,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom"
2024-06-27 00:00:00-04:00,439.37789191132003,440.2353556354908,436.2670147371521,438.92919921875,1236500,0.0,0.0,LIN,439.8992004394531,,0.22875673783341569,3.968340898338681,False,False,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom"
2024-06-28 00:00:00-04:00,438.82947180312834,440.9632114837687,436.83533621887125,437.5233154296875,2470200,0.0,0.0,LIN,439.7268502371652,,0.20016175765897065,4.127875264897455,False,False,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom"
2024-07-01 00:00:00-04:00,437.8623356152062,439.4875610620286,424.1526528225696,427.6822814941406,2462900,0.0,0.0,LIN,437.77687290736606,,0.0,15.334908239458969,True,False,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom"
2024-07-02 00:00:00-04:00,426.74501988158966,429.23768939024376,423.384906252419,428.8288879394531,1886400,0.0,0.0,LIN,435.9736022949219,,0.023321407378532784,5.852783137824758,False,False,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom"
2024-07-03 00:00:00-04:00,428.36025985496394,432.398402668708,428.2406165884401,431.6705322265625,865100,0.0,0.0,LIN,434.5207301548549,,0.08111904519531338,4.157786080267897,False,False,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom"
2024-07-05 00:00:00-04:00,431.14209083042357,434.67171936049755,427.94151171391536,434.4423828125,1499400,0.0,0.0,LIN,433.7444414411272,,0.13749711368720563,6.730207646582187,True,False,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom"
2024-07-08 00:00:00-04:00,435.34971573310054,436.64589169397465,433.0464915633647,434.4623107910156,1502200,0.0,0.0,LIN,433.3627014160156,,0.13790243890327564,3.599400130609922,False,False,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom"
2024-07-09 00:00:00-04:00,432.9268417643983,434.3227305692227,429.4869457559973,429.9356384277344,1052100,0.0,0.0,LIN,432.0779070172991,,0.045832164324925574,4.835784813225416,False,False,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom"
2024-07-10 00:00:00-04:00,431.8400205695394,434.7714023379389,429.04824289872766,433.6746520996094,1554000,0.0,0.0,LIN,431.5280979701451,,0.12188185111343396,5.723159439211258,False,False,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom"
2024-07-11 00:00:00-04:00,433.82421336823893,436.8353472221999,432.32861164237374,433.6148376464844,1368400,0.0,0.0,LIN,432.37560599190846,,0.12066525475279506,4.50673557982617,False,False,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom"
2024-07-12 00:00:00-04:00,436.30690961167704,443.12684994147344,435.36966341393554,439.4078063964844,1843900,0.0,0.0,LIN,433.88688005719865,,0.23849137085581346,7.757186527537897,True,False,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom"
2024-07-15 00:00:00-04:00,439.4078025113359,439.8465147884463,436.24708411871234,436.8951721191406,1271500,0.0,0.0,LIN,434.6332571847098,,0.18738563373497566,3.5994306697339766,False,False,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom"
2024-07-16 00:00:00-04:00,436.77551137027825,446.6863675853252,436.77551137027825,444.42303466796875,1173300,0.0,0.0,LIN,436.05906459263394,,0.3404986307083819,9.91085621504692,True,False,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom"
2024-07-17 00:00:00-04:00,445.7890143237821,450.4353538695615,445.42010411053235,447.97259521484375,1896500,0.0,0.0,LIN,437.9891052246094,,0.4126949347382952,5.015249759029132,False,False,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom"
2024-07-18 00:00:00-04:00,444.233613297533,450.03652499241196,444.233613297533,444.7321472167969,1458700,0.0,0.0,LIN,440.10289219447543,,0.34678582690068355,5.802911694878958,False,False,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom"
2024-07-19 00:00:00-04:00,444.0641000452773,444.2934366031149,440.6242342462879,443.4459228515625,1503800,0.0,0.0,LIN,441.498788016183,,0.3206246601599452,3.669202356826986,False,False,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom"
2024-07-22 00:00:00-04:00,446.5667411767166,447.39429408096845,443.1468058485378,444.7919616699219,1096700,0.0,0.0,LIN,443.09552001953125,,0.3480024232613224,4.247488232430669,False,False,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom"
2024-07-23 00:00:00-04:00,446.57671751818475,447.3045575479355,443.7051573472971,446.0981140136719,1060700,0.0,0.0,LIN,444.051278250558,,0.37456891521813074,3.5994002006383994,False,False,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom"
2024-07-24 00:00:00-04:00,447.15501276574645,448.25179346885056,441.3321402661068,442.4588317871094,1700700,0.0,0.0,LIN,444.84608677455356,,0.30054771664725904,6.919653202743746,True,False,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom"
2024-07-25 00:00:00-04:00,443.6752514600876,447.08520637983656,440.68404798685754,441.73095703125,1777300,0.0,0.0,LIN,444.4615042550223,,0.2857431045056274,6.401158392979028,True,False,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom"
2024-07-26 00:00:00-04:00,442.81776460822147,451.4224649432215,442.1596961818913,450.06646728515625,1307400,0.0,0.0,LIN,444.7606288364955,,0.455283255909803,9.262768761330165,True,False,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom"
2024-07-29 00:00:00-04:00,450.1462071359036,451.89107581014076,447.7432700531541,448.640625,1015200,0.0,0.0,LIN,445.31898280552457,,0.4262823298068591,4.147805756986656,False,False,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom"
2024-07-30 00:00:00-04:00,451.24297293711385,455.39077855732745,449.318639422581,449.52801513671875,1755600,0.0,0.0,LIN,446.18785313197543,439.6886291503906,0.44433140581433744,6.072139134746465,False,False,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom"
