Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,moving_avg_7,moving_avg_30,normalized_close,volatility,high_volatility_flag,price_outlier,Security,GICS Sector,GICS Sub-Industry,Headquarters Location
2024-06-17 00:00:00-04:00,1028.0778201979504,1071.3868606621472,1028.0778201979504,1069.699951171875,1049700,0.0,0.0,LRCX,,,0.8544496634306553,43.30904046419687,True,False,Lam Research,Information Technology,Semiconductor Materials & Equipment,"Fremont, California"
2024-06-18 00:00:00-04:00,1071.010009765625,1101.81005859375,1068.6500244140625,1089.5799560546875,1192700,2.0,0.0,LRCX,,,0.9046846720405688,33.1600341796875,False,False,Lam Research,Information Technology,Semiconductor Materials & Equipment,"Fremont, California"
2024-06-20 00:00:00-04:00,1091.9200439453125,1093.3900146484375,1050.219970703125,1061.31005859375,1461500,0.0,0.0,LRCX,,,0.8332491492264188,43.1700439453125,True,False,Lam Research,Information Technology,Semiconductor Materials & Equipment,"Fremont, California"
2024-06-21 00:00:00-04:00,1059.969970703125,1064.5699462890625,1038.7099609375,1050.3499755859375,1699000,0.0,0.0,LRCX,,,0.8055539918304144,25.8599853515625,False,False,Lam Research,Information Technology,Semiconductor Materials & Equipment,"Fremont, California"
2024-06-24 00:00:00-04:00,1047.9200439453125,1057.0400390625,1022.0700073242188,1024.4200439453125,1041500,0.0,0.0,LRCX,,,0.7400313550453784,34.97003173828125,True,False,Lam Research,Information Technology,Semiconductor Materials & Equipment,"Fremont, California"
2024-06-25 00:00:00-04:00,1024.739990234375,1054.52001953125,1012.4500122070312,1052.9000244140625,932300,0.0,0.0,LRCX,,,0.8119977389819713,42.07000732421875,True,False,Lam Research,Information Technology,Semiconductor Materials & Equipment,"Fremont, California"
2024-06-26 00:00:00-04:00,1053.5999755859375,1069.1199951171875,1042.27001953125,1055.760009765625,878700,0.0,0.0,LRCX,1057.7171456473213,,0.8192246682310773,26.8499755859375,False,False,Lam Research,Information Technology,Semiconductor Materials & Equipment,"Fremont, California"
2024-06-27 00:00:00-04:00,1076.25,1084.760009765625,1048.050048828125,1055.8299560546875,914800,0.0,0.0,LRCX,1055.7357177734375,,0.8194014162979917,36.7099609375,True,False,Lam Research,Information Technology,Semiconductor Materials & Equipment,"Fremont, California"
2024-06-28 00:00:00-04:00,1065.050048828125,1086.719970703125,1052.969970703125,1064.8499755859375,1223700,0.0,0.0,LRCX,1052.2028634207588,,0.8421942054087068,33.75,False,False,Lam Research,Information Technology,Semiconductor Materials & Equipment,"Fremont, California"
2024-07-01 00:00:00-04:00,1062.260009765625,1071.9200439453125,1040.5,1060.6300048828125,614500,0.0,0.0,LRCX,1052.105712890625,,0.831530713832387,31.4200439453125,False,False,Lam Research,Information Technology,Semiconductor Materials & Equipment,"Fremont, California"
2024-07-02 00:00:00-04:00,1048.9200439453125,1073.4200439453125,1046.5400390625,1072.8199462890625,550400,0.0,0.0,LRCX,1055.315708705357,,0.8623336142897573,26.8800048828125,False,False,Lam Research,Information Technology,Semiconductor Materials & Equipment,"Fremont, California"
2024-07-03 00:00:00-04:00,1070.0,1091.18994140625,1060.9100341796875,1082.739990234375,430800,0.0,0.0,LRCX,1063.6471296037946,,0.8874006852457778,30.2799072265625,False,False,Lam Research,Information Technology,Semiconductor Materials & Equipment,"Fremont, California"
2024-07-05 00:00:00-04:00,1090.3599853515625,1094.469970703125,1075.0799560546875,1087.800048828125,559900,0.0,0.0,LRCX,1068.632847377232,,0.9001870043901691,19.3900146484375,False,False,Lam Research,Information Technology,Semiconductor Materials & Equipment,"Fremont, California"
2024-07-08 00:00:00-04:00,1088.3900146484375,1105.8599853515625,1085.239990234375,1101.6099853515625,727500,0.0,0.0,LRCX,1075.1828438895088,,0.9350834887847491,20.6199951171875,False,False,Lam Research,Information Technology,Semiconductor Materials & Equipment,"Fremont, California"
