Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,moving_avg_7,moving_avg_30,normalized_close,volatility,high_volatility_flag,price_outlier,Security,GICS Sector,GICS Sub-Industry,Headquarters Location
2024-06-17 00:00:00-04:00,149.23981603864988,151.41893028721518,148.59599198132958,151.3297882080078,974000,0.0,0.0,PNC,,,0.027672012361369666,2.8229383058856,False,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-06-18 00:00:00-04:00,151.14158221208453,153.40985354746263,150.5571862349678,153.01364135742188,1420200,0.0,0.0,PNC,,,0.07616867855341036,2.8526673124948445,False,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-06-20 00:00:00-04:00,151.5575981480111,152.49859268090427,150.923673739191,151.72598266601562,1299900,0.0,0.0,PNC,,,0.039082811684236614,1.574918941713264,False,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-06-21 00:00:00-04:00,151.7359041952536,151.9042887207798,149.69546038552917,151.7458038330078,2598300,0.0,0.0,PNC,,,0.03965368125174689,2.2088283352506153,False,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-06-24 00:00:00-04:00,152.58773439440844,155.36115934410876,151.4981697346851,153.42965698242188,1445500,0.0,0.0,PNC,,,0.08815034744378758,3.862989609423664,True,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-06-25 00:00:00-04:00,152.75611525043706,153.9645359844552,150.39870183260663,150.4581298828125,1420500,0.0,0.0,PNC,,,0.0025673749140839104,3.565834151848577,True,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-06-26 00:00:00-04:00,149.5468647421237,151.14158291886466,148.85351229874712,150.36898803710938,1842300,0.0,0.0,PNC,151.72457013811385,,0.0,2.288070620117537,False,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-06-27 00:00:00-04:00,149.69545979606806,150.94349427596885,149.17049183209744,150.48785400390625,1008800,0.0,0.0,PNC,151.6042938232422,,0.003423459531104701,1.7730024438714054,False,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-06-28 00:00:00-04:00,151.62693768720777,154.37064855858122,151.38921037128614,154.004150390625,2706200,0.0,0.0,PNC,151.74579511369978,,0.10469633606331159,2.9814381872950833,False,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-07-01 00:00:00-04:00,154.4597993983522,156.22290219478066,153.98435985348232,154.65789794921875,1583400,0.0,0.0,PNC,152.16464015415735,,0.12352492401589821,2.2385423412983414,False,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-07-02 00:00:00-04:00,154.04378199461243,157.3916881834198,153.9744391917979,157.33226013183594,1326000,0.0,0.0,PNC,152.96270533970423,,0.20054924771784013,3.4172489916219035,False,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-07-03 00:00:00-04:00,157.6095982735093,157.6095982735093,156.0743232554405,156.29222106933594,914100,0.0,0.0,PNC,153.37164306640625,,0.1705950754918971,1.535275018068802,False,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-07-05 00:00:00-04:00,156.5993025677053,156.8073007596148,154.42017313088567,155.02438354492188,975100,0.0,0.0,PNC,154.02396501813615,,0.1340800781902336,2.3871276287291323,False,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-07-08 00:00:00-04:00,157.3619811721963,158.42183185251903,156.0743330266145,157.262939453125,1261500,0.0,0.0,PNC,155.0088152204241,,0.1985527423712665,2.3474988259045233,False,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-07-09 00:00:00-04:00,156.5398500886191,160.53161053013486,156.22289544371966,159.97691345214844,1878900,0.0,0.0,PNC,156.36439514160156,,0.2767179262712505,4.308715086415191,True,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-07-10 00:00:00-04:00,159.71939593584995,162.89893288647872,159.6599678811757,162.74044799804688,2218900,0.0,0.0,PNC,157.61243765694755,,0.3563105038242548,3.2389650053030152,False,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-07-11 00:00:00-04:00,164.23609896304654,167.50477778680278,163.79037346752293,166.7024688720703,3299000,0.0,0.0,PNC,159.33309064592635,,0.4704206943953705,3.7144043192798506,True,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-07-12 00:00:00-04:00,165.9100707737698,168.0693707088454,165.58320135797425,166.9600067138672,2435900,0.0,0.0,PNC,160.70848301478796,,0.4778380435566009,2.4861693508711653,False,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-07-15 00:00:00-04:00,168.75,170.91000366210938,167.75,169.02000427246094,2719200,1.6,0.0,PNC,162.5267377580915,,0.5371680474766598,3.160003662109375,False,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-07-16 00:00:00-04:00,168.75,177.8300018310547,168.75,176.97999572753906,5412700,0.0,0.0,PNC,165.6632537841797,,0.766423816379518,9.080001831054688,True,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-07-17 00:00:00-04:00,177.39999389648438,180.86000061035156,176.55999755859375,179.7100067138672,2562500,0.0,0.0,PNC,168.86997767857142,,0.8450508816616831,4.3000030517578125,True,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-07-18 00:00:00-04:00,178.4600067138672,180.97000122070312,174.97999572753906,176.07000732421875,2183800,0.0,0.0,PNC,171.1689910888672,,0.7402152340872855,5.9900054931640625,True,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-07-19 00:00:00-04:00,176.6699981689453,177.92999267578125,174.1999969482422,175.50999450683594,1601100,0.0,0.0,PNC,172.9932120186942,,0.7240863010640411,3.7299957275390625,True,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-07-22 00:00:00-04:00,175.19000244140625,177.22999572753906,173.00999450683594,177.14999389648438,1995200,0.0,0.0,PNC,174.48571559361048,,0.7713199348180336,4.220001220703125,True,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-07-23 00:00:00-04:00,176.50999450683594,179.60000610351562,175.7100067138672,178.6199951171875,1401200,0.0,0.0,PNC,176.15142822265625,,0.8136574501335105,3.8899993896484375,True,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-07-24 00:00:00-04:00,179.49000549316406,180.64999389648438,176.4600067138672,177.39999389648438,2710400,0.0,0.0,PNC,177.34856959751673,,0.7785201865455843,4.1899871826171875,True,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-07-25 00:00:00-04:00,178.2100067138672,182.50999450683594,177.5500030517578,180.0,1843300,0.0,0.0,PNC,177.77999877929688,,0.8534029802995066,4.959991455078125,True,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-07-26 00:00:00-04:00,180.47999572753906,182.4199981689453,180.0500030517578,181.2100067138672,1824100,0.0,0.0,PNC,177.9942844935826,,0.8882523920269869,2.3699951171875,False,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-07-29 00:00:00-04:00,181.36000061035156,181.8300018310547,180.1999969482422,181.0,1782400,0.0,0.0,PNC,178.69856916155135,,0.882203987209709,1.6300048828125,False,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-07-30 00:00:00-04:00,182.0,182.83999633789062,180.8000030517578,181.97999572753906,1639800,0.0,0.0,PNC,179.62285505022322,164.60545094807944,0.9104288509305306,2.0399932861328125,False,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-07-31 00:00:00-04:00,181.5,182.7899932861328,180.3699951171875,181.10000610351562,1863300,0.0,0.0,PNC,180.18714250837053,165.59779154459636,0.885084263688125,2.4199981689453125,False,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-08-01 00:00:00-04:00,181.3300018310547,181.86000061035156,175.27999877929688,175.99000549316406,2237900,0.0,0.0,PNC,179.8114297049386,166.3636703491211,0.7379111007982506,6.5800018310546875,True,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-08-02 00:00:00-04:00,173.82000732421875,173.82000732421875,169.08999633789062,170.0,2917000,0.0,0.0,PNC,178.75428771972656,166.9728042602539,0.5653929111974814,4.730010986328125,True,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-08-05 00:00:00-04:00,166.13999938964844,166.80999755859375,162.14999389648438,165.82000732421875,3319100,0.0,0.0,PNC,176.72857448032923,167.44194437662762,0.4450049132577096,4.660003662109375,True,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-08-06 00:00:00-04:00,165.94000244140625,170.13999938964844,165.14999389648438,169.08999633789062,2114900,0.0,0.0,PNC,174.9971444266183,167.96395568847657,0.5391838894367597,4.9900054931640625,True,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-08-07 00:00:00-04:00,171.6999969482422,172.72999572753906,166.6300048828125,166.75,1729100,0.0,0.0,PNC,172.961430140904,168.50701802571615,0.4717896387393231,6.0999908447265625,True,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-08-08 00:00:00-04:00,168.38999938964844,170.58999633789062,168.32000732421875,170.27999877929688,1497300,0.0,0.0,PNC,171.29000200544084,169.17071838378905,0.5734571579748589,2.269989013671875,False,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-08-09 00:00:00-04:00,170.11000061035156,170.52000427246094,169.39999389648438,169.9199981689453,710500,0.0,0.0,PNC,169.69285801478796,169.8184565226237,0.5630887779084464,1.1200103759765625,False,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-08-12 00:00:00-04:00,170.6300048828125,171.94000244140625,166.8000030517578,167.02000427246094,1772300,0.0,0.0,PNC,168.41142926897322,170.2523183186849,0.4795660336562548,5.1399993896484375,True,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
2024-08-13 00:00:00-04:00,168.3699951171875,168.3699951171875,166.4199981689453,168.2100067138672,1567000,0.0,0.0,PNC,168.1557159423828,170.7040552775065,0.513839302194354,1.9499969482421875,False,False,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
