Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,moving_avg_7,moving_avg_30,normalized_close,volatility,high_volatility_flag,price_outlier,Security,GICS Sector,GICS Sub-Industry,Headquarters Location
2024-06-17 00:00:00-04:00,147.32000732421875,149.3800048828125,144.5500030517578,149.1199951171875,2348400,0.0,0.0,RCL,,,0.3090577891697023,4.8300018310546875,False,False,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida"
2024-06-18 00:00:00-04:00,150.1999969482422,151.52999877929688,148.5500030517578,151.47999572753906,1326700,0.0,0.0,RCL,,,0.3800779791721865,2.9799957275390625,False,False,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida"
2024-06-20 00:00:00-04:00,150.8699951171875,151.17999267578125,148.8699951171875,150.2100067138672,1341200,0.0,0.0,RCL,,,0.3418598275935697,2.30999755859375,False,False,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida"
2024-06-21 00:00:00-04:00,149.6199951171875,151.1999969482422,148.0,151.1199951171875,2066700,0.0,0.0,RCL,,,0.36924437530105464,3.1999969482421875,False,False,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida"
2024-06-24 00:00:00-04:00,152.7899932861328,155.63999938964844,150.77000427246094,154.52000427246094,2174600,0.0,0.0,RCL,,,0.47156184723668026,4.8699951171875,False,False,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida"
2024-06-25 00:00:00-04:00,156.11000061035156,161.67999267578125,154.00999450683594,160.72999572753906,3758600,0.0,0.0,RCL,,,0.658440940029691,7.6699981689453125,True,False,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida"
2024-06-26 00:00:00-04:00,160.0,161.57000732421875,158.86000061035156,161.39999389648438,2391300,0.0,0.0,RCL,154.08285522460938,,0.6786033912812287,2.7100067138671875,False,False,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida"
2024-06-27 00:00:00-04:00,161.6199951171875,161.69000244140625,158.49000549316406,160.2100067138672,1417100,0.0,0.0,RCL,155.6671425955636,,0.6427927582503314,3.1999969482421875,False,False,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida"
2024-06-28 00:00:00-04:00,160.5,162.5,158.89999389648438,159.42999267578125,2830300,0.0,0.0,RCL,156.8028564453125,,0.6193195672068698,3.600006103515625,False,False,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida"
2024-07-01 00:00:00-04:00,159.75,160.0,154.52000427246094,156.47000122070312,1915800,0.0,0.0,RCL,157.69714137486048,,0.5302436768773066,5.4799957275390625,True,False,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida"
