Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,moving_avg_7,moving_avg_30,normalized_close,volatility,high_volatility_flag,price_outlier,Security,GICS Sector,GICS Sub-Industry,Headquarters Location
2024-06-17 00:00:00-04:00,140.25312783996014,143.9343297031788,139.70739282050732,143.84503173828125,5006300,0.0,0.0,TGT,,,0.4255247112914285,4.226936882671481,True,False,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota"
2024-06-18 00:00:00-04:00,143.2298507941661,143.72597079672244,141.31481971130057,141.4338836669922,2969500,0.0,0.0,TGT,,,0.33560923981233587,2.4111510854218636,False,False,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota"
2024-06-20 00:00:00-04:00,141.04691362779113,142.65435276523414,140.6301746337522,142.2673797607422,2628700,0.0,0.0,TGT,,,0.3666916088870174,2.024178131481932,False,False,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota"
2024-06-21 00:00:00-04:00,142.87263976922628,145.13494570603814,142.87263976922628,144.99603271484375,5652000,0.0,0.0,TGT,,,0.4684473325575639,2.262305936811856,False,False,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota"
2024-06-24 00:00:00-04:00,145.85928377371692,149.61986680924431,145.5814577777594,148.52841186523438,3933000,0.0,0.0,TGT,,,0.6001752594038335,4.0384090314849175,True,False,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota"
2024-06-25 00:00:00-04:00,147.3277949655562,147.96282797720326,145.20440191345048,145.63107299804688,3367600,0.0,0.0,TGT,,,0.4921289749885484,2.758426063752779,False,False,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota"
2024-06-26 00:00:00-04:00,144.87695210634814,146.16686709130352,143.79541417619444,146.0279541015625,2447000,0.0,0.0,TGT,144.6756809779576,,0.5069292902278657,2.3714529151090744,False,False,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota"
2024-06-27 00:00:00-04:00,144.61897742194276,145.85927739983248,144.17247245797856,145.58145141601562,2273600,0.0,0.0,TGT,144.92374093191964,,0.4902785088156049,1.6868049418539215,False,False,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota"
2024-06-28 00:00:00-04:00,146.39508482758154,147.55601896609951,144.9861058262432,146.89120483398438,12772300,0.0,0.0,TGT,145.70335824148995,,0.5391212561774672,2.569913139856311,False,False,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota"
2024-07-01 00:00:00-04:00,147.18888486083222,147.78423494487154,143.94427080992438,144.60906982421875,2638900,0.0,0.0,TGT,146.03788539341517,,0.45401688294321996,3.8399641349471665,True,False,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota"
