Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,moving_avg_7,moving_avg_30,normalized_close,volatility,high_volatility_flag,price_outlier,Security,GICS Sector,GICS Sub-Industry,Headquarters Location
2024-06-17 00:00:00-04:00,613.5842628564155,619.5603667963771,608.5858675455556,617.8543090820312,859000,0.0,0.0,URI,,,0.0,10.97449925082151,False,False,United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut"
2024-06-18 00:00:00-04:00,614.232739612003,644.911454433431,606.0118514646293,643.39501953125,1018000,0.0,0.0,URI,,,0.18576340257785848,38.89960296880167,True,False,United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut"
2024-06-20 00:00:00-04:00,638.3067840485023,645.7195521337492,629.0383425252411,637.7380981445312,615700,0.0,0.0,URI,,,0.14461932528205731,16.681209608508084,False,False,United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut"
2024-06-21 00:00:00-04:00,639.6237468056803,639.8731672489038,626.2747598128637,639.2945556640625,725400,0.0,0.0,URI,,,0.15593979521850979,13.59840743604002,False,False,United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut"
2024-06-24 00:00:00-04:00,642.5070212607798,652.3840945475628,633.9169963518801,643.8738403320312,364100,0.0,0.0,URI,,,0.1892459752868295,18.467098195682638,False,False,United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut"
2024-06-25 00:00:00-04:00,642.9858966708144,643.1754586337297,627.7612638510033,638.9652709960938,442300,0.0,0.0,URI,,,0.15354483285204726,15.41419478272644,False,False,United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut"
2024-06-26 00:00:00-04:00,635.0942995526652,635.0942995526652,622.5534322402023,628.3699340820312,586900,0.0,0.0,URI,635.6415754045759,,0.07648253497555096,12.540867312462979,False,False,United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut"
2024-06-27 00:00:00-04:00,624.698417403938,629.357573867292,618.6823675568072,621.5955810546875,576200,0.0,0.0,URI,636.176042829241,,0.027211122924384445,10.675206310484782,False,False,United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut"
2024-06-28 00:00:00-04:00,629.7467331975708,650.5783334674887,629.7467331975708,645.230712890625,820100,0.0,0.0,URI,636.4382847377232,,0.19911481835797473,20.831600269917885,False,False,United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut"
2024-07-01 00:00:00-04:00,647.5652710568398,647.5652710568398,627.9508146516824,639.3543701171875,507000,0.0,0.0,URI,636.6691807338169,,0.1563748393555132,19.614456405157398,False,False,United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut"
2024-07-02 00:00:00-04:00,634.3160548279019,646.0787615751766,633.1687573571749,644.3826904296875,446500,0.0,0.0,URI,637.3960571289062,,0.19294695790947974,12.910004218001745,False,False,United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut"
