Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,moving_avg_7,moving_avg_30,normalized_close,volatility,high_volatility_flag,price_outlier,Security,GICS Sector,GICS Sub-Industry,Headquarters Location
2024-06-17 00:00:00-04:00,7.21999979019165,7.239999771118164,7.110000133514404,7.159999847412109,24107400,0.0,0.0,WBD,,,0.21739124425491765,0.12999963760375977,False,False,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York"
2024-06-18 00:00:00-04:00,7.139999866485596,7.269999980926514,6.960000038146973,6.989999771118164,24310300,0.0,0.0,WBD,,,0.13526559142559128,0.309999942779541,False,False,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York"
2024-06-20 00:00:00-04:00,6.989999771118164,7.159999847412109,6.940000057220459,7.039999961853027,32441800,0.0,0.0,WBD,,,0.1594202765010928,0.2199997901916504,False,False,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York"
2024-06-21 00:00:00-04:00,7.079999923706055,7.260000228881836,7.039999961853027,7.179999828338623,56623900,0.0,0.0,WBD,,,0.22705307221388846,0.2200002670288086,False,False,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York"
2024-06-24 00:00:00-04:00,7.199999809265137,7.369999885559082,7.079999923706055,7.309999942779541,21739600,0.0,0.0,WBD,,,0.2898550691252732,0.28999996185302734,False,False,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York"
2024-06-25 00:00:00-04:00,7.230000019073486,7.260000228881836,7.099999904632568,7.239999771118164,16322600,0.0,0.0,WBD,,,0.25603855609080084,0.16000032424926758,False,False,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York"
2024-06-26 00:00:00-04:00,7.170000076293945,7.269999980926514,7.130000114440918,7.25,18858900,0.0,0.0,WBD,7.167142731802804,,0.2608695852483608,0.1399998664855957,False,False,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York"
2024-06-27 00:00:00-04:00,7.25,7.369999885559082,7.199999809265137,7.349999904632568,16337700,0.0,0.0,WBD,7.194285597120013,,0.3091787250432148,0.1700000762939453,False,False,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York"
2024-06-28 00:00:00-04:00,7.400000095367432,7.5,7.340000152587891,7.440000057220459,36956400,0.0,0.0,WBD,7.2585713522774835,,0.352657066036658,0.15999984741210938,False,False,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York"
2024-07-01 00:00:00-04:00,7.440000057220459,7.460000038146973,7.079999923706055,7.099999904632568,35145500,0.0,0.0,WBD,7.2671427726745605,,0.18840576037800522,0.38000011444091797,True,False,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York"
2024-07-02 00:00:00-04:00,7.110000133514404,7.28000020980835,7.099999904632568,7.199999809265137,22237600,0.0,0.0,WBD,7.269999912806919,,0.23671490017285926,0.18000030517578125,False,False,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York"
2024-07-03 00:00:00-04:00,7.289999961853027,7.449999809265137,7.199999809265137,7.230000019073486,15706100,0.0,0.0,WBD,7.2585713522774835,,0.25120775728939,0.25,False,False,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York"
2024-07-05 00:00:00-04:00,7.199999809265137,7.21999979019165,7.070000171661377,7.210000038146973,29115500,0.0,0.0,WBD,7.254285676138742,,0.24154592933041918,0.14999961853027344,False,False,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York"
2024-07-08 00:00:00-04:00,7.269999980926514,7.289999961853027,7.079999923706055,7.110000133514404,18507400,0.0,0.0,WBD,7.234285695212228,,0.19323678953556514,0.21000003814697266,False,False,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York"
2024-07-09 00:00:00-04:00,7.099999904632568,7.360000133514404,6.980000019073486,7.340000152587891,29191400,0.0,0.0,WBD,7.232857159205845,,0.3043479262418039,0.38000011444091797,True,False,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York"
2024-07-10 00:00:00-04:00,7.320000171661377,7.340000152587891,7.170000076293945,7.320000171661377,20930700,0.0,0.0,WBD,7.215714318411691,,0.2946860982828331,0.1700000762939453,False,False,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York"
2024-07-11 00:00:00-04:00,7.420000076293945,7.440000057220459,7.269999980926514,7.380000114440918,19712200,0.0,0.0,WBD,7.255714348384312,,0.32367158215974556,0.1700000762939453,False,False,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York"
2024-07-12 00:00:00-04:00,7.429999828338623,7.510000228881836,7.369999885559082,7.400000095367432,18025100,0.0,0.0,WBD,7.284285817827497,,0.33333341011871637,0.1400003433227539,False,False,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York"
2024-07-15 00:00:00-04:00,7.340000152587891,7.449999809265137,7.210000038146973,7.420000076293945,19098300,0.0,0.0,WBD,7.3114286831447055,,0.34299523807768717,0.23999977111816406,False,False,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York"
2024-07-16 00:00:00-04:00,7.380000114440918,7.980000019073486,7.380000114440918,7.980000019073486,38634700,0.0,0.0,WBD,7.421428680419922,,0.6135266512850187,0.5999999046325684,True,False,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York"
2024-07-17 00:00:00-04:00,7.929999828338623,8.359999656677246,7.920000076293945,8.319999694824219,46205600,0.0,0.0,WBD,7.594285760607038,,0.7777777265875224,0.4399995803833008,True,False,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York"
2024-07-18 00:00:00-04:00,8.760000228881836,8.899999618530273,8.510000228881836,8.520000457763672,59338500,0.0,0.0,WBD,7.762857232775007,,0.8743964668895285,0.3899993896484375,True,False,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York"
2024-07-19 00:00:00-04:00,8.5,8.770000457763672,8.380000114440918,8.670000076293945,38058900,0.0,0.0,WBD,7.955714362008231,,0.9468600614037351,0.3900003433227539,True,False,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York"
2024-07-22 00:00:00-04:00,8.649999618530273,8.670000076293945,8.220000267028809,8.550000190734863,26742500,0.0,0.0,WBD,8.122857230050224,,0.8888890936499102,0.4499998092651367,True,False,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York"
2024-07-23 00:00:00-04:00,8.489999771118164,8.680000305175781,8.449999809265137,8.619999885559082,19656000,0.0,0.0,WBD,8.297142914363317,,0.9227053763282336,0.23000049591064453,False,False,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York"
2024-07-24 00:00:00-04:00,8.609999656677246,8.75,8.460000038146973,8.470000267028809,23826900,0.0,0.0,WBD,8.447142941611153,,0.850241781814027,0.28999996185302734,False,False,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York"
